0,1,2,3,4,5,6
"Brookline Bancorp, Inc.
",BRKL,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BRKL&amp;action=getcompany"" rel=""nofollow""view/a
","0001049782
",S&P600
"BrightSphere Investment Group, Inc.
",BSIG,"Financials
","Asset Management &amp; Custody Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=BSIG&amp;action=getcompany"" rel=""nofollow""view/a
","0001748824
",S&P600
"a href=""/wiki/Cadence_Bank"" title=""Cadence Bank"" Cadence Bancorporation/a
",CADE,"Financials
","Diversified Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=CADE&amp;action=getcompany"" rel=""nofollow""view/a
","0001614184
",S&P600
"a href=""/wiki/The_Cheesecake_Factory"" title=""The Cheesecake Factory"" The Cheesecake Factory, Inc./a
",CAK,Consumer Discretionary,Restaurants,"a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=CAKE&amp;action=getcompany"" rel=""nofollow""view/a
","0000887596
",S&P600
"a href=""/wiki/Caleres"" title=""Caleres"" Caleres, Inc./a
",CAL,"Consumer Discretionary
","Apparel Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=CAL&amp;action=getcompany"" rel=""nofollow""view/a
","0000014707
",S&P600
"a href=""/wiki/Cal-Maine"" title=""Cal-Maine"" Cal-Maine Foods, Inc./a
",CALM,"Consumer Staples
","Packaged Foods &amp; Meats
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=CALM&amp;action=getcompany"" rel=""nofollow""view/a
","0000016160
",S&P600
"CalAmp Corp.
",CAMP,"Information Technology
","Communications Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=CAMP&amp;action=getcompany"" rel=""nofollow""view/a
","0000730255
",S&P600
"Cara Therapeutics
",CARA,"Health Care
","Biotechnology
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=CARA&amp;action=getcompany"" rel=""nofollow""view/a
","0001346830
",S&P600
"a href=""/wiki/MetaBank"" title=""MetaBank"" Meta Financial Group, Inc./a
",CASH,"Financials
","Thrifts &amp; Mortgage Finance
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=CASH&amp;action=getcompany"" rel=""nofollow""view/a
","0000907471
",S&P600
"a href=""/wiki/Cato_Corporation"" title=""Cato Corporation"" The Cato Corporation/a
",CATO,"Consumer Discretionary
","Apparel Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=CATO&amp;action=getcompany"" rel=""nofollow""view/a
","0000018255
",S&P600
